攤位編號,企業名稱
A01,英屬開曼群島商柏駿創新科技股份有限公司台灣分公司
A02,英屬開曼群島商柏駿創新科技股份有限公司台灣分公司
A03,蓋亞汽車股份有限公司
A04,蓋亞汽車股份有限公司
A05,臺灣生物醫藥製造股份有限公司
A06,高端疫苗生物製劑股份有限公司
A07,大江生醫股份有限公司
A08,藝珂人事顧問股份有限公司
A09,台灣恩慈股份有限公司
A10,沛爾生技醫藥股份有限公司
A11,飛鳥車用電子股份有限公司
A12,TOKU-E EU B.V.
A13,聯合再生能源股份有限公司
A14,上緯集團
A15,能元科技股份有限公司
A16,能元科技股份有限公司
B01,兆豐國際商業銀行
B02,第一商業銀行股份有限公司
B03,臺灣證券交易所股份有限公司
B04,玉山金融控股有限公司
B05,元大金融控股股份有限公司
B06,元大金融控股股份有限公司
B07,南寶樹脂化學工廠股份有限公司
B08,邁萃斯精密股份有限公司
B09,李長榮化學工業股份有限公司
B10,太平洋電線電纜股份有限公司
B11,台泥企業團
B12,台泥企業團
B13,國泰人壽保險股份有限公司
B14,國泰人壽保險股份有限公司
B15,國際中橡投資控股股份有限公司
B16,東和鋼鐵企業股份有限公司
B17,奇美實業股份有限公司
B18,奇美實業股份有限公司
B19,華南商業銀行股份有限公司
B20,兆豐證券股份有限公司
B22,信義房屋股份有限公司
B23,台灣山葉機車工業股份有限公司
B24,台灣山葉機車工業股份有限公司
C01,冠群國際專利商標聯合事務所
C02,留學家聯合顧問有限公司
C03,JPTIP日鏵國際企劃股份有限公司(JPTIP日本人才顧問)
C04,自力耕生股份有限公司(牧羊人集團暨汪喵星球)
C05,原住民族委員會
C06,研發替代役專案辦公室
C07,北部地區人才招募中心-新竹招募站
C08,國防部軍事情報局
C09,經濟部Contact TAIWAN
C10,財團法人自強工業科學基金會
C11,勞動部勞動力發展署桃竹苗分署
C12,勞動部勞動力發展署桃竹苗分署 新竹就業中心
C13,勞動部勞動力發展署桃竹苗分署賈桃樂學習主題館
C14,新竹市青年發展中心
C15,國家中山科學研究院
C16,國家中山科學研究院
C17,壹一壹一科技股份有限公司
C18,壹一壹一科技股份有限公司
C19,台灣新思科技(Synopsys)
C20,蘇度科技有限公司 SuDo Research Labs
C21,新代科技股份有限公司
C22,國家太空中心
C23,芯鼎科技股份有限公司
C24,明泰科技股份有限公司
C25,盟立集團
C26,旭聯教育科技集團
C27,力成科技股份有限公司
C28,茂達電子股份有限公司
C29,緯創資通股份有限公司
C30,新能達電池方案設計有限公司
C31,旺矽科技股份有限公司
C32,閎康科技股份有限公司
C33,建漢科技股份有限公司
C34,上銀科技股份有限公司
C35,上銀科技股份有限公司
C36,華碩電腦股份有限公司
C37,華碩電腦股份有限公司
C38,晶豪科技股份有限公司
C39,晶豪科技股份有限公司
C40,合勤科技股份有限公司
C41,兆勤科技股份有限公司(合勤企業集團)
C42,台灣康寧
C43,台灣康寧
C44,大立光電股份有限公司
C45,大立光電股份有限公司
C46,億光電子工業股份有限公司
C47,億光電子工業股份有限公司
C48,群聯電子股份有限公司
C49,群聯電子股份有限公司
D01,慧榮科技股份有限公司
D02,慧榮科技股份有限公司
D03,慧榮科技股份有限公司
D04,光寶科技股份有限公司
D05,光寶科技股份有限公司
D06,光寶科技股份有限公司
D07,光寶科技股份有限公司
